old_district,new_district,voter_count
136,148,5402
136,149,3113
136,150,613
137,20,43
137,44,27
137,45,46
137,52,128
137,137,64771
138,10,29
138,20,132
138,44,41
138,45,48
138,52,22
138,75,33
138,136,107
138,138,119599
139,10,12
139,20,18
139,44,18
139,45,20
139,75,91
139,136,108
139,139,113622
140,10,45
140,20,62
140,44,28
140,45,28
140,52,69
140,75,25
140,136,33
140,140,74292
141,10,33
141,20,100
141,44,29
141,45,57
141,52,55
141,75,21
141,136,44
141,141,91035
142,10,99
142,20,185
142,44,36
142,45,69
142,52,71
142,75,68
142,136,102
142,142,101902
143,10,38
143,20,154
143,44,51
143,45,76
143,52,53
143,75,132
143,136,75
143,143,86348
144,10,69
144,20,96
144,44,9
144,45,73
144,52,134
144,75,95
144,136,63
144,144,89596
145,20,148
145,44,101
145,45,74
145,52,56
145,75,108
145,136,31
145,145,109878
146,10,49
146,20,110
146,44,26
146,45,181
146,52,128
146,75,73
146,136,65
146,146,106054
147,20,119
147,44,32
147,45,40
147,52,103
147,75,7
147,136,82
147,147,124786
148,10,48
148,20,28
148,44,4
148,45,3
148,52,95
148,136,56
148,148,99314
149,10,217
149,52,112
149,136,67
149,149,99328
150,10,12
150,20,68
150,44,27
150,45,56
150,52,56
150,136,57
150,150,129071
