Old_CD,New_SD,Old_CD_Republican,Old_CD_Democrat,Old_CD_Other,Old_CD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
8,38,56640,12038,31884,546344,56227,3836,2199,50192,5829.106350577657,1238.8909295242556,-1993.1063505776574,960.1090704757444,-34.19231406509066,77.49746548265021
9,7,10695,33275,23521,426831,49956,1451,1800,46705,1251.7352769597335,3894.482593813477,199.26472304026652,-2094.482593813477,15.91907863492103,-53.780766593761044
9,8,10695,33275,23521,426831,66,2,2,62,1.65374586194536,5.145244839292366,0.34625413805464,-3.145244839292366,20.937566407412138,-61.129157844409534
9,9,10695,33275,23521,426831,8526,104,258,8164,213.6338972567597,664.6720833304048,-109.6338972567597,-406.6720833304048,-51.3185869211543,-61.18386698185583
9,14,10695,33275,23521,426831,24392,1685,1383,21324,611.1843797662307,1901.5577593942332,1073.8156202337693,-518.5577593942332,175.694218599711,-27.270155578099654
9,18,10695,33275,23521,426831,333272,7214,29233,296825,8350.715013670517,25981.30360728251,-1136.7150136705168,3251.696392717491,-13.612187840318587,12.515524401193046
9,22,10695,33275,23521,426831,3,0,0,3,0.07517026645206182,0.23387476542238028,-0.07517026645206182,-0.23387476542238028,-100.0,-100.0
9,36,10695,33275,23521,426831,10616,239,599,9778,266.00251621836276,827.6048365746631,-27.002516218362757,-228.60483657466307,-10.151225861411122,-27.62246261402066
10,2,58845,16549,42845,524853,2115,188,134,1793,237.12768146509592,66.68750107172865,-49.12768146509592,67.31249892827135,-20.717817996431297,100.93720389353092
10,3,58845,16549,42845,524853,67415,6138,1335,59942,7558.374773508011,2125.6443899529963,-1420.3747735080105,-790.6443899529963,-18.79206596749347,-37.19551556648098
10,4,58845,16549,42845,524853,71089,7629,1305,62155,7970.2930249041165,2241.488304344264,-341.29302490411646,-936.4883043442642,-4.282063706286662,-41.77975421639458
10,7,58845,16549,42845,524853,7607,220,242,7145,852.8748335248155,239.85428872465243,-632.8748335248155,2.1457112753475656,-74.20489017236328,0.8945894971303998
10,8,58845,16549,42845,524853,7072,768,432,5872,792.8921812393185,222.98534637317496,-24.89218123931846,209.01465362682504,-3.1394156517486533,93.73470365941921
10,9,58845,16549,42845,524853,17085,1479,464,15142,1915.5207743882572,538.7025795794251,-436.5207743882572,-74.7025795794251,-22.788621257718543,-13.867128618122967
10,10,58845,16549,42845,524853,120622,12858,5284,102480,13523.78968968454,3803.300120224139,-665.7896896845396,1480.699879775861,-4.923099996093402,38.93197573081872
10,11,58845,16549,42845,524853,56281,5013,2387,48881,6310.062903327217,1774.5812046420617,-1297.062903327217,612.4187953579383,-20.55546708802684,34.51060981351174
10,17,58845,16549,42845,524853,2497,464,47,1986,279.9564163680116,78.73224121801724,184.04358363198838,-31.732241218017236,65.74008412440072,-40.30399837107085
10,18,58845,16549,42845,524853,4287,368,171,3748,480.64603803350656,135.17225394539042,-112.64603803350656,35.82774605460958,-23.43638127017159,26.50525163920399
10,21,58845,16549,42845,524853,12201,1963,196,10042,1367.9408234305604,384.70647781378784,595.0591765694396,-188.70647781378784,43.50035954604626,-49.05206662652786
10,27,58845,16549,42845,524853,103749,16525,3005,84219,11632.037741996332,3271.2820561185704,4892.9622580036685,-266.2820561185704,42.0645321699577,-8.13999072995003
10,29,58845,16549,42845,524853,17494,1998,520,14976,1961.3766711822166,551.5986495266293,36.62332881778343,-31.598649526629288,1.8672256765299842,-5.728558174271566
10,31,58845,16549,42845,524853,11361,1485,195,9681,1273.7624534869765,358.2206617852999,211.23754651302352,-163.2206617852999,16.583747301920553,-45.56427900385223
10,32,58845,16549,42845,524853,3674,218,44,3412,411.9182513961052,115.84391439126765,-193.91825139610518,-71.84391439126765,-47.076877690867654,-62.01785805390849
10,36,58845,16549,42845,524853,7391,790,181,6420,828.6575383964654,233.04365031732695,-38.657538396465384,-52.04365031732695,-4.665080157391865,-22.332146894567188
10,38,58845,16549,42845,524853,12731,725,607,11399,1427.3628901806792,401.4177664984291,-702.3628901806792,205.5822335015709,-49.20703032231504,51.21403451941517
