COUNTY,NEWHD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
MIDLAND,82,4668,268,94340,99276,4.7020427897981385,0.26995447036544584,95.02800273983641
MILAM,17,1488,122,15614,17224,8.639108221086856,0.7083139804923363,90.65257779842081
MILLS,68,635,10,2998,3643,17.430688992588525,0.2744990392533626,82.29481196815811
MITCHELL,83,315,5,4218,4538,6.941383869546056,0.11018069634200088,92.94843543411194
MONTAGUE,68,1096,29,14559,15684,6.988013261922979,0.18490181076256057,92.82708492731446
MONTGOMERY,0,0,0,9,9,0.0,0.0,100.0
MONTGOMERY,3,5980,577,144532,151089,3.9579320797675543,0.38189411538894297,95.66017380484351
MONTGOMERY,15,5462,1050,137302,143814,3.7979612555105904,0.7301097250615378,95.47192901942788
MONTGOMERY,16,7186,561,131700,139447,5.153212331566832,0.40230338408140726,94.44448428435176
MONTGOMERY,18,766,72,20364,21202,3.6128667106876713,0.33959060465993773,96.04754268465238
MOORE,87,681,5,9462,10148,6.7106819077650774,0.049270792274339774,93.24004729996058
MORRIS,1,352,69,8580,9001,3.9106765914898345,0.7665814909454505,95.32274191756471
MOTLEY,69,116,1,736,853,13.599062133645957,0.11723329425556857,86.28370457209847
NACOGDOCHES,11,2580,333,37158,40071,6.438571535524444,0.8310249307479225,92.73040353372764
NAVARRO,8,1828,160,30980,32968,5.5447706867265225,0.48531909730647904,93.969910215967
NEWTON,11,601,29,8876,9506,6.322322743530402,0.3050704818009678,93.37260677466863
NOLAN,71,436,21,8039,8496,5.131826741996234,0.24717514124293788,94.62099811676083
NUECES,32,2594,1470,105677,109741,2.3637473688047312,1.3395175914197974,96.29673503977547
NUECES,34,1417,1642,106426,109485,1.294241220258483,1.499748824039823,97.20600995570169
OCHILTREE,87,463,4,4750,5217,8.874832279087599,0.07667241709794902,91.04849530381445
OLDHAM,86,146,1,1197,1344,10.863095238095239,0.0744047619047619,89.0625
ORANGE,21,3117,250,52977,56344,5.5320885986085475,0.4437029674854465,94.02420843390601
PALO PINTO,60,1363,77,18956,20396,6.682682878995881,0.3775250049029222,92.93979211610119
PANOLA,11,1411,90,16406,17907,7.879600156363434,0.5025967498743509,91.61780309376222
PARKER,60,7326,487,120036,127849,5.7301973421770995,0.38091811433800815,93.88888454348489
PARMER,86,196,3,4371,4570,4.288840262582057,0.06564551422319474,95.64551422319475
PECOS,53,311,127,7908,8346,3.726335969326623,1.5216870357057273,94.75197699496765
POLK,9,2268,135,42145,44548,5.091137649277184,0.30304390769507045,94.60581844302774
POTTER,87,2625,323,56883,59831,4.387357724256656,0.539853921879962,95.07278835386337
PRESIDIO,74,10,519,3916,4445,0.22497187851518563,11.676040494938132,88.09898762654667
RAINS,5,611,42,8773,9426,6.482070867812434,0.4455760661998727,93.07235306598768
RANDALL,86,5883,347,94131,100361,5.861838762068931,0.34575183587250025,93.79240940205857
REAGAN,72,151,1,1657,1809,8.347153123272525,0.055279159756771695,91.5975677169707
REAL,53,321,15,2368,2704,11.871301775147929,0.5547337278106509,87.57396449704143
RED RIVER,1,468,63,8243,8774,5.333941189879188,0.7180305447914292,93.94802826532938
REEVES,74,20,565,7272,7857,0.2545500827287769,7.1910398370879465,92.55441008018327
REFUGIO,43,246,50,4657,4953,4.966686856450636,1.0094891984655765,94.02382394508379
ROBERTS,88,126,0,597,723,17.42738589211618,0.0,82.57261410788381
ROBERTSON,12,1066,101,11449,12616,8.449587824984148,0.800570703868104,90.74984147114775
ROCKWALL,33,4107,713,83428,88248,4.653929834103889,0.8079503218203246,94.53811984407578
RUNNELS,72,552,12,6265,6829,8.083174696148777,0.17572118904671255,91.7411041148045
RUSK,11,2013,203,32211,34427,5.847154849391465,0.589653469660441,93.5631916809481
SABINE,11,688,36,7755,8479,8.114164406179974,0.4245783700908126,91.4612572237292
SAN AUGUSTINE,9,358,49,5658,6065,5.902720527617477,0.8079142621599341,93.28936521022258
