COUNTY,NEWCD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
THROCKMORTON,19,112,2,1109,1223,9.157808667211773,0.1635322976287817,90.67865903515944
TITUS,1,1326,122,16638,18086,7.3316377308415355,0.6745549043459029,91.99380736481257
TOM GREEN,11,3062,308,69429,72799,4.20610173216665,0.42308273465294854,95.37081553318039
TRAVIS,0,0,1,50,51,0.0,1.9607843137254901,98.0392156862745
TRAVIS,10,3383,2796,139390,145569,2.323983815235387,1.9207386187993323,95.75527756596529
TRAVIS,17,393,895,47915,49203,0.7987317846472777,1.8189947767412555,97.38227343861146
TRAVIS,21,512,840,19944,21296,2.404207362885049,3.944402704733283,93.65138993238166
TRAVIS,35,594,4918,188022,193534,0.30692281459588494,2.5411555592299027,97.15192162617421
TRAVIS,37,4885,23980,489855,518720,0.9417412091301666,4.622917951881555,94.43534083898828
TRINITY,17,1091,72,11160,12323,8.853363628986449,0.5842733100705997,90.56236306094296
TYLER,36,1117,51,13728,14896,7.498657357679914,0.34237379162191195,92.15896885069817
UPSHUR,0,0,0,2,2,0.0,0.0,100.0
UPSHUR,1,1120,88,18796,20004,5.598880223955209,0.43991201759648074,93.96120775844831
UPSHUR,5,478,45,9959,10482,4.560198435413089,0.42930738408700636,95.0104941804999
UPTON,23,261,3,1846,2110,12.369668246445498,0.14218009478672985,87.48815165876778
UVALDE,23,465,328,17182,17975,2.58692628650904,1.8247566063977747,95.58831710709319
VAL VERDE,23,438,619,29105,30162,1.4521583449373383,2.052251176977654,96.495590478085
VAN ZANDT,5,2412,104,39412,41928,5.752718946765884,0.24804426636138144,93.99923678687273
VICTORIA,27,2662,385,55170,58217,4.572547537660821,0.661318858752598,94.76613360358658
WALKER,0,0,0,22,22,0.0,0.0,100.0
WALKER,8,1165,118,11966,13249,8.793116461619745,0.8906332553400257,90.31625028304023
WALKER,17,1271,161,24367,25799,4.926547540602349,0.6240551959378271,94.44939726345982
WALLER,10,1451,331,42332,44114,3.289205240966587,0.7503286938386907,95.96046606519472
WARD,23,355,36,6670,7061,5.02761648491715,0.5098427984704716,94.46254071661238
WASHINGTON,10,2297,268,23296,25861,8.882100460152353,1.0363095007926995,90.08159003905494
WEBB,28,241,6850,141526,148617,0.16216179844836054,4.609163150918132,95.2286750506335
WHARTON,22,1954,195,24318,26467,7.382778554426267,0.7367665394642384,91.88045490610949
WHEELER,13,462,4,2954,3420,13.508771929824562,0.11695906432748539,86.37426900584795
WICHITA,13,3630,369,76113,80112,4.5311563810665065,0.4606051527860994,95.0082384661474
WILBARGER,13,342,34,7758,8134,4.204573395623309,0.4179985247110892,95.3774280796656
WILLACY,34,36,445,11208,11689,0.30798186329027294,3.806998032338096,95.88502010437163
WILLIAMSON,10,785,686,30197,31668,2.478842996084375,2.1662245800176834,95.35493242389794
WILLIAMSON,17,909,847,51402,53158,1.7099966138680915,1.5933631814590465,96.69664020467286
WILLIAMSON,31,10004,4771,310670,325445,3.0739449062053494,1.4659927176635068,95.46006237613113
WILLIAMSON,37,476,915,35246,36637,1.2992330158036958,2.4974752299587846,96.20329175423751
WILSON,15,1853,232,37097,39182,4.72921239344597,0.5921086213057016,94.67867898524833
