County,Old_SD,New_SD,Old_Republican,Old_Democrat,Old_Other,Old_Total,Transition_Republican,Transition_Democrat,Transition_Other,Transition_Total,Pct_Old_Republican,Pct_Old_Democrat,Pct_Transition_Republican,Pct_Transition_Democrat
ELLIS,2,6.0,2116,461,50230,52807,442,53,8020,8515,4.007044520612797,0.8729903232525991,5.190839694656488,0.6224310041103934
ELLIS,2,18.0,2116,461,50230,52807,28,37,3115,3180,4.007044520612797,0.8729903232525991,0.8805031446540881,1.1635220125786163
ELLIS,2,15.0,2116,461,50230,52807,346,95,9522,9963,4.007044520612797,0.8729903232525991,3.4728495433102484,0.9535280537990566
ELLIS,2,4.0,2116,461,50230,52807,129,34,4192,4355,4.007044520612797,0.8729903232525991,2.9621125143513205,0.7807118254879449
ELLIS,0,13.0,0,0,2,2,0,0,1,1,0.0,0.0,0.0,0.0
ERATH,22,27.0,2147,101,23800,26048,2147,101,23800,26048,8.24247542997543,0.38774570024570026,8.24247542997543,0.38774570024570026
FALLS,22,13.0,364,75,10154,10593,111,38,3798,3947,3.436231473614651,0.7080147267063155,2.8122624778312644,0.9627565239422345
FALLS,22,6.0,364,75,10154,10593,168,31,4390,4589,3.436231473614651,0.7080147267063155,3.660928306820658,0.6755284375680977
FALLS,22,4.0,364,75,10154,10593,44,0,749,793,3.436231473614651,0.7080147267063155,5.548549810844893,0.0
FALLS,22,15.0,364,75,10154,10593,24,4,779,807,3.436231473614651,0.7080147267063155,2.973977695167286,0.49566294919454773
FALLS,22,17.0,364,75,10154,10593,17,2,438,457,3.436231473614651,0.7080147267063155,3.7199124726477026,0.437636761487965
FANNIN,1,5.0,1485,96,23402,24983,1485,96,23401,24982,5.944041948524998,0.38426129768242406,5.9442798815146904,0.38427667920903047
FAYETTE,18,18.0,1801,141,16456,18398,1801,141,16456,18398,9.789107511686053,0.7663876508316121,9.789107511686053,0.7663876508316121
FISHER,28,3.0,117,19,2586,2722,117,19,2586,2722,4.298310066127847,0.698016164584864,4.298310066127847,0.698016164584864
FLOYD,28,2.0,354,5,3308,3667,354,5,3306,3665,9.65366784837742,0.13635124079629124,9.65893587994543,0.1364256480218281
FOARD,28,17.0,52,7,749,808,52,7,749,808,6.435643564356436,0.8663366336633664,6.435643564356436,0.8663366336633664
FORT BEND,13,13.0,1618,5234,124362,131214,1618,5234,124362,131214,1.2331001265108907,3.9889036230889996,1.2331001265108907,3.9889036230889996
FORT BEND,18,18.0,5604,3613,229655,238872,5604,3613,229655,238872,2.346026323721491,1.5125255366891055,2.346026323721491,1.5125255366891055
FORT BEND,17,17.0,6840,2529,176307,185676,6840,2529,176307,185676,3.6838363601111612,1.3620500226200478,3.6838363601111612,1.3620500226200478
FRANKLIN,1,14.0,557,34,7044,7635,557,34,7044,7635,7.295350360183366,0.4453176162409954,7.295350360183366,0.4453176162409954
FREESTONE,5,1.0,897,85,12470,13452,897,85,12468,13450,6.668153434433541,0.631876300921796,6.669144981412639,0.6319702602230484
FRIO,19,3.0,83,707,8755,9545,83,707,8747,9537,0.8695652173913043,7.407019381875328,0.8702946419209394,7.413232672748244
GAINES,31,21.0,583,11,9907,10501,583,11,9907,10501,5.551852204551948,0.1047519283877726,5.551852204551948,0.1047519283877726
GALVESTON,11,11.0,8685,2881,232267,243833,8685,2881,232267,243833,3.5618640626986506,1.181546386256167,3.5618640626986506,1.181546386256167
GALVESTON,4,4.0,179,20,2315,2514,179,20,2315,2514,7.120127287191726,0.7955449482895784,7.120127287191726,0.7955449482895784
GARZA,28,22.0,227,6,2420,2653,227,6,2419,2652,8.556351300414624,0.22615906520919715,8.559577677224736,0.22624434389140274
GILLESPIE,24,17.0,2280,252,19399,21931,1485,186,13463,15134,10.39624276138799,1.149058410469199,9.812343068587287,1.2290207479846704
GILLESPIE,24,11.0,2280,252,19399,21931,795,66,5935,6796,10.39624276138799,1.149058410469199,11.698057680988818,0.9711595055915244
GLASSCOCK,31,18.0,146,2,696,844,146,2,696,844,17.298578199052134,0.23696682464454977,17.298578199052134,0.23696682464454977
GOLIAD,18,8.0,616,33,5199,5848,616,33,5199,5848,10.533515731874145,0.5642954856361149,10.533515731874145,0.5642954856361149
GONZALES,18,29.0,962,42,12201,13205,962,42,12201,13205,7.285119273002651,0.31806134040136314,7.285119273002651,0.31806134040136314
GRAY,28,28.0,922,6,11426,12354,922,6,11423,12351,7.4631698235389345,0.04856726566294317,7.464982592502631,0.048579062424095217
