COUNTY,2026_HD,Democrat,Republican,Swing,Unknown,All
HASKELL,3.0,4,24,0,1015,1043
HASKELL,15.0,2,6,0,285,293
HASKELL,16.0,11,71,6,2027,2115
HAYS,45.0,3201,2307,413,142829,148750
HAYS,73.0,1110,1750,201,34245,37306
HEMPHILL,13.0,5,268,6,2068,2347
HENDERSON,4.0,193,1552,91,32836,34672
HENDERSON,8.0,142,1649,25,23214,25030
HIDALGO,126.0,59,11,7,3080,3157
HIDALGO,127.0,218,38,41,6710,7007
HIDALGO,128.0,811,97,98,18771,19777
HIDALGO,129.0,370,17,32,9572,9991
HIDALGO,130.0,313,53,53,11397,11816
HIDALGO,131.0,41,9,2,1702,1754
HIDALGO,132.0,160,12,22,5269,5463
HIDALGO,133.0,75,19,9,6338,6441
HIDALGO,134.0,891,160,147,51412,52610
HIDALGO,137.0,63,26,18,2257,2364
HIDALGO,138.0,234,23,36,12831,13124
HIDALGO,139.0,449,84,67,19992,20592
HIDALGO,140.0,465,54,59,17296,17874
HIDALGO,141.0,810,108,117,19491,20526
HIDALGO,142.0,800,165,111,31439,32515
HIDALGO,143.0,1183,190,147,43927,45447
HIDALGO,144.0,247,73,40,11690,12050
HIDALGO,145.0,1539,241,236,63775,65791
HIDALGO,146.0,518,63,77,20649,21307
HIDALGO,147.0,1828,226,190,52421,54665
HIDALGO,148.0,252,16,29,9500,9797
HIDALGO,150.0,251,84,61,12697,13093
HILL,12.0,47,545,20,9637,10249
HILL,14.0,63,775,23,15774,16635
HOCKLEY,32.0,12,323,10,3889,4234
HOCKLEY,34.0,14,508,9,9244,9775
HOOD,59.0,189,3790,132,47712,51823
HOPKINS,2.0,98,1308,44,24003,25453
HOUSTON,21.0,25,179,5,1686,1895
HOUSTON,22.0,104,840,24,11074,12042
HOWARD,72.0,52,745,25,15608,16430
HUDSPETH,74.0,36,61,51,2064,2212
HUNT,2.0,269,2841,116,69802,73028
HUTCHINSON,35.0,5,274,4,3068,3351
HUTCHINSON,39.0,14,445,5,6153,6617
HUTCHINSON,40.0,9,315,5,3177,3506
IRION,72.0,2,133,8,1091,1234
JACK,62.0,10,550,15,5294,5869
JACKSON,25.0,27,380,4,6647,7058
JACKSON,29.0,3,243,6,2614,2866
JASPER,128.0,4,25,4,486,519
JASPER,134.0,11,239,9,2448,2707
JASPER,137.0,19,51,9,1014,1093
JASPER,141.0,9,67,1,698,775
JASPER,143.0,14,195,6,2972,3187
JASPER,145.0,10,359,12,4125,4506
JASPER,146.0,6,263,13,4009,4291
JASPER,147.0,72,430,48,5744,6294
JASPER,150.0,17,82,5,1099,1203
JEFF DAVIS,69.0,39,187,48,1298,1572
JEFFERSON,3.0,1213,1041,181,40712,43147
JEFFERSON,15.0,1166,1070,257,45919,48412
JEFFERSON,16.0,2052,1012,219,50795,54078
JEFFERSON,18.0,106,11,6,2435,2558
JIM HOGG,19.0,584,4,7,2963,3558
JIM WELLS,30.0,1440,247,171,24622,26480
JOHNSON,32.0,173,1747,61,40961,42942
JOHNSON,34.0,463,3109,106,82692,86370
JONES,69.0,26,395,13,10463,10897
KARNES,4.0,36,413,50,7968,8467
KAUFMAN,3.0,445,1484,84,51961,53974
KAUFMAN,15.0,109,425,23,13503,14060
KAUFMAN,16.0,225,1996,112,33961,36294
KAUFMAN,18.0,10,282,3,3620,3915
KENDALL,116.0,40,195,14,4664,4913
KENDALL,117.0,23,215,14,2593,2845
KENDALL,118.0,52,438,28,6103,6621
KENDALL,119.0,16,73,4,1362,1455
KENDALL,120.0,47,312,13,4296,4668
KENDALL,121.0,39,417,25,4092,4573
